,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.000,0.000,0.000,0.000,0.389,3.270
1,fulloracle,2,10,11,0.000,0.000,0.000,0.000,0.486,104.737
2,fulloracle,2,01,49,0.000,0.000,0.000,0.000,0.464,44.044
3,fulloracle,2,11,31,0.000,0.000,0.000,0.000,0.363,213.641
4,fulloracle,2,aa,118,0.000,0.000,0.000,0.000,0.422,84.928
0,fulloracle,5,00,13,0.000,0.000,0.000,0.000,0.098,1.570
1,fulloracle,5,10,2,0.000,0.000,0.000,0.000,0.676,99.337
2,fulloracle,5,01,54,0.000,0.000,0.000,0.000,0.285,21.455
3,fulloracle,5,11,46,0.000,0.000,0.000,0.000,0.453,127.238
4,fulloracle,5,aa,115,0.000,0.000,0.000,0.000,0.338,62.874
0,fulloracle,10,00,2,0.000,0.000,0.000,0.000,0.011,1.020
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.000,0.000,0.000,0.000,0.211,14.957
3,fulloracle,10,11,57,0.000,0.000,0.000,0.000,0.506,105.585
4,fulloracle,10,aa,110,0.000,0.000,0.000,0.000,0.360,61.665
0,notracklap,2,00,27,0.000,0.000,0.000,0.000,0.347,14.696
1,notracklap,2,10,11,0.000,0.000,0.000,0.000,0.031,735.578
2,notracklap,2,01,49,0.000,0.000,0.000,0.000,0.125,81.268
3,notracklap,2,11,31,0.000,0.000,0.000,0.000,0.163,1185.465
4,notracklap,2,aa,118,0.000,0.000,0.000,0.000,0.177,417.116
0,notracklap,5,00,13,0.000,0.000,0.000,0.000,0.073,6.717
1,notracklap,5,10,2,0.000,0.000,0.000,0.000,-0.325,1193.677
2,notracklap,5,01,54,0.000,0.000,0.000,0.000,0.050,54.126
3,notracklap,5,11,46,0.000,0.000,0.000,0.000,0.121,1168.228
4,notracklap,5,aa,115,0.000,0.000,0.000,0.000,0.074,514.226
0,notracklap,10,00,2,0.000,0.000,0.000,0.000,-0.030,2.437
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.000,0.000,0.000,0.000,0.055,42.179
3,notracklap,10,11,57,0.000,0.000,0.000,0.000,0.062,1053.724
4,notracklap,10,aa,110,0.000,0.000,0.000,0.000,0.057,565.621
0,laponly,2,00,27,0.000,0.000,0.000,0.000,0.383,14.329
1,laponly,2,10,11,0.000,0.000,0.000,0.000,0.073,736.458
2,laponly,2,01,49,0.000,0.000,0.000,0.000,0.456,48.150
3,laponly,2,11,31,0.000,0.000,0.000,0.000,0.248,1071.006
4,laponly,2,aa,118,0.000,0.000,0.000,0.000,0.349,373.292
0,laponly,5,00,13,0.000,0.000,0.000,0.000,0.094,7.253
1,laponly,5,10,2,0.000,0.000,0.000,0.000,-0.332,1195.200
2,laponly,5,01,54,0.000,0.000,0.000,0.000,0.285,25.656
3,laponly,5,11,46,0.000,0.000,0.000,0.000,0.202,1076.794
4,laponly,5,aa,115,0.000,0.000,0.000,0.000,0.219,464.371
0,laponly,10,00,2,0.000,0.000,0.000,0.000,0.006,0.992
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,laponly,10,01,51,0.000,0.000,0.000,0.000,0.210,16.183
3,laponly,10,11,57,0.000,0.000,0.000,0.000,0.172,970.783
4,laponly,10,aa,110,0.000,0.000,0.000,0.000,0.186,510.563
0,trackonly,2,00,27,0.000,0.000,0.000,0.000,0.335,4.122
1,trackonly,2,10,11,0.000,0.000,0.000,0.000,0.453,103.665
2,trackonly,2,01,49,0.000,0.000,0.000,0.000,0.128,79.191
3,trackonly,2,11,31,0.000,0.000,0.000,0.000,0.258,236.560
4,trackonly,2,aa,118,0.000,0.000,0.000,0.000,0.240,105.638
0,trackonly,5,00,13,0.000,0.000,0.000,0.000,0.076,1.922
1,trackonly,5,10,2,0.000,0.000,0.000,0.000,0.693,102.481
2,trackonly,5,01,54,0.000,0.000,0.000,0.000,0.057,52.394
3,trackonly,5,11,46,0.000,0.000,0.000,0.000,0.362,144.584
4,trackonly,5,aa,115,0.000,0.000,0.000,0.000,0.192,84.436
0,trackonly,10,00,2,0.000,0.000,0.000,0.000,-0.044,2.411
1,trackonly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,trackonly,10,01,51,0.000,0.000,0.000,0.000,0.057,41.149
3,trackonly,10,11,57,0.000,0.000,0.000,0.000,0.411,123.372
4,trackonly,10,aa,110,0.000,0.000,0.000,0.000,0.238,83.051
0,fullpred,2,00,27,0.000,0.000,0.000,0.000,0.347,21.963
1,fullpred,2,10,11,0.000,0.000,0.000,0.000,0.254,450.358
2,fullpred,2,01,49,0.000,0.000,0.000,0.000,0.309,78.566
3,fullpred,2,11,31,0.000,0.000,0.000,0.000,0.277,587.128
4,fullpred,2,aa,118,0.000,0.000,0.000,0.000,0.304,233.878
0,fullpred,5,00,13,0.000,0.000,0.000,0.000,0.059,30.476
